"Group.1"	"year"	"rgdpe"	"rgdpo"	"rkna"	"wagee"	"wageo"	"rconna"	"profite"	"profito"	"teste"	"testo"	"psharee"	"pshareo"	"kprode"	"kprodo"	"exploite"	"exploito"	"pratee"	"prateo"	"wsharee"	"wshareo"
"11"	1960	327320	9051126.2338177	8894787.97955429	23815465.7349643	5550270.39056364	5437730.24790139	7522862.14977104	3500855.84325407	3457057.7316529	9051126.2338177	8894787.97955429	0.386786765847307	0.388661060791932	0.380052455599448	0.373487887179781	0.630754106900105	0.635753811617834	0.146999260153638	0.145160198424231	0.613213234152693	0.611338939208068
"12"	1961	327487	9164423.2820142	9009783.73268967	25059416.1691684	5639535.91547695	5525272.97207755	7846262.44043017	3524887.36653725	3484510.76061212	9164423.2820142	9009783.73268967	0.384627298201632	0.386747436341838	0.365707773084098	0.359536857198404	0.625031459922735	0.630649522335169	0.140661192692672	0.139049957791884	0.615372701798368	0.613252563658162
"13"	1962	327654	9681026.4135319	9501097.36944734	26192775.5299629	5946427.06483895	5815350.89882709	8272639.2205837	3734599.34869295	3685746.47062025	9681026.4135319	9501097.36944734	0.385764813478126	0.387928502077297	0.369606741464165	0.362737326503588	0.628040890432428	0.633796057149988	0.142581275681182	0.14071614771806	0.614235186521874	0.612071497922704
"14"	1963	327821	10240231.8029129	10027842.4641764	27414335.2342691	6278282.47639651	6128737.77187445	8686442.620667	3961949.32651639	3899104.692302	10240231.8029129	10027842.4641764	0.386900355653022	0.388827876607674	0.373535659916793	0.365788277500933	0.631056238933421	0.63620028094455	0.144521079670894	0.142228679228667	0.613099644346978	0.611172123392326
"15"	1964	327988	10970489.7250939	10733372.8989051	28847361.3335356	6713230.80127086	6551769.41680589	9161591.493867	4257258.92382303	4181603.48209921	10970489.7250939	10733372.8989051	0.388064619766698	0.389588950415183	0.380294391513046	0.372074685611795	0.634159475496821	0.63824033113452	0.147578798441918	0.144956186243558	0.611935380233302	0.610411049584817
"16"	1965	328155	11562359.175627	11323148.7977967	30378334.8049516	7053422.84089267	6882833.93012339	9583806.4197939	4508936.33473433	4440314.86767331	11562359.175627	11323148.7977967	0.389966810946246	0.392144883633193	0.380612013458433	0.37273763919249	0.639255073238127	0.645128868828266	0.148426053096215	0.14616715814685	0.610033189053754	0.607855116366807
"17"	1966	328322	12221419.4766056	11936406.091263	32008355.9652136	7456918.67200024	7263096.68917171	10066296.5211468	4764500.80460536	4673309.40209129	12221419.4766056	11936406.091263	0.389848398029838	0.391517293091426	0.381819656401214	0.372915313246184	0.638936940870152	0.643432078917326	0.148851781384316	0.146002793994487	0.610151601970162	0.608482706908574
"18"	1967	328489	12601740.4856631	12296002.2480692	33596329.9594153	7729853.36025941	7520456.69307843	10544892.889393	4871887.12540369	4775545.55499077	12601740.4856631	12296002.2480692	0.386604305250247	0.388381968272709	0.375092770576017	0.365992424259522	0.630269023012901	0.635007387169188	0.145012479972931	0.142144858106814	0.613395694749754	0.611618031727291
"19"	1968	328656	13291548.6318914	12951359.9383509	35336481.9638578	8182674.0511037	7949187.16954492	11074603.5531416	5108874.5807877	5002172.76880598	13291548.6318914	12951359.9383509	0.384370152965442	0.386227607959053	0.376142385806431	0.366515261807827	0.624352693127085	0.629268460047136	0.144577906369204	0.141558312848523	0.615629847034558	0.613772392040947
"20"	1969	328823	14146268.3483472	13779346.6605288	37251404.2196525	8742968.57779247	8491163.8225696	11647869.417374	5403299.77055473	5288182.8379592	14146268.3483472	13779346.6605288	0.381959371722652	0.383776021333965	0.379751277695034	0.369901402354634	0.61801660642809	0.622786575369463	0.145049559439269	0.141959288481516	0.618040628277348	0.616223978666035
